organism,count
"gi|645321086|ref|NR_118138.1| Gaiella occulta strain F2-233 16S ribosomal RNA, partial sequence",133
"gi|636559017|ref|NR_115074.1| Telmatobacter bradus strain TPB6017 16S ribosomal RNA, partial sequence",131
"gi|343201392|ref|NR_042118.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",126
"gi|672239116|ref|NR_125705.1| Aggregicoccus edonensis strain MCy1366 16S ribosomal RNA, partial sequence",126
"gi|343198741|ref|NR_043563.1| Planifilum yunnanense strain LA5 16S ribosomal RNA, partial sequence",125
"gi|1441204344|ref|NR_157759.1| Natronospira proteinivora strain BSker1 16S ribosomal RNA, partial sequence",124
"gi|559795270|ref|NR_104861.1| Caldanaerobacter subterraneus strain DSM 13054 16S ribosomal RNA, partial sequence",123
"gi|645320196|ref|NR_117459.1| Archangium gephyra strain DSM 2261 16S ribosomal RNA, partial sequence",121
"gi|645320620|ref|NR_117782.1| Ferrovum myxofaciens strain P3G 16S ribosomal RNA, partial sequence",116
"gi|1040567069|ref|NR_137418.1| Methylocapsa palsarum strain NE2 16S ribosomal RNA, partial sequence",113
"gi|343202455|ref|NR_042751.1| Ferrithrix thermotolerans strain Y005 16S ribosomal RNA, partial sequence",111
"gi|470466352|ref|NR_074116.1| Dehalococcoides mccartyi 195 16S ribosomal RNA, partial sequence",106
"gi|343200153|ref|NR_040840.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",104
"gi|444304259|ref|NR_074685.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",104
"gi|444439515|ref|NR_074830.1| Conexibacter woesei strain DSM 14684 16S ribosomal RNA, partial sequence",104
"gi|631252114|ref|NR_113312.1| Thermotomaculum hydrothermale strain AC55 16S ribosomal RNA, partial sequence",103
"gi|2363081349|ref|NR_178919.1| Legionella norrlandica strain LEGN 16S ribosomal RNA, partial sequence",103
"gi|343200270|ref|NR_040957.1| Heliobacterium mobile strain DSM 6151 16S ribosomal RNA, partial sequence",102
"gi|343198793|ref|NR_043691.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",102
"gi|343201672|ref|NR_042398.1| Stigmatella erecta strain DSM 16858 16S ribosomal RNA, partial sequence",101
"gi|2363081439|ref|NR_178966.1| Roseomonas nepalensis strain G-3-5 16S ribosomal RNA, partial sequence",100
"gi|566084828|ref|NR_108192.1| Solirubrobacter ginsenosidimutans strain BXN5-15 16S ribosomal RNA, partial sequence",99
"gi|1240411950|ref|NR_149296.1| Thalassobaculum fulvum strain HSF7 16S ribosomal RNA, partial sequence",98
"gi|2363083694|ref|NR_180095.1| Acidisarcina polymorpha strain SBC82 16S ribosomal RNA, partial sequence",97
"gi|1199303386|ref|NR_147737.1| Occallatibacter savannae strain A2-1c 16S ribosomal RNA, partial sequence",97
"gi|1779814909|ref|NR_164984.1| Cryobacterium tepidiphilum strain NEAU-85 16S ribosomal RNA, partial sequence",94
"gi|1109167956|ref|NR_144576.1| Ampullimonas aquatilis strain B15.09-116 16S ribosomal RNA, partial sequence",93
"gi|2180566390|ref|NR_174253.1| Azohydromonas sediminis strain SYSU G00088 16S ribosomal RNA, partial sequence",91
"gi|2180566467|ref|NR_174307.1| Arthrobacter zhaoguopingii strain J391 16S ribosomal RNA, partial sequence",90
"gi|219857153|ref|NR_024781.1| Haliangium tepidum strain SMP-10 16S ribosomal RNA, partial sequence",90
"gi|2363082707|ref|NR_179601.1| Ornithinibacillus massiliensis strain Marseille-P3601 16S ribosomal RNA, partial sequence",90
"gi|645321258|ref|NR_118269.1| Methyloglobulus morosus KoM1 16S ribosomal RNA, partial sequence",89
"gi|1779814859|ref|NR_164934.1| Cupriavidus lacunae strain S23 16S ribosomal RNA, partial sequence",89
"gi|2221405526|ref|NR_175564.1| Rhodoferax aquaticus strain personal::Gr-4 16S ribosomal RNA, partial sequence",89
"gi|645322563|ref|NR_119284.1| Clostridium thermosuccinogenes strain DSM 5807 16S ribosomal RNA, partial sequence",87
"gi|631251998|ref|NR_113196.1| Neomoorella thermoacetica strain JCM 9319 16S ribosomal RNA, partial sequence",87
"gi|343200253|ref|NR_040940.1| Planifilum fimeticola strain H0165 16S ribosomal RNA, partial sequence",86
"gi|1776910885|ref|NR_164618.1| Ketobacter alkanivorans strain GI5 16S ribosomal RNA, partial sequence",85
"gi|343206041|ref|NR_044611.1| Methylovirgula ligni strain BW863 16S ribosomal RNA, partial sequence",84
"gi|343199086|ref|NR_044521.1| Ideonella azotifigens strain 1a22 16S ribosomal RNA, partial sequence",83
"gi|343200104|ref|NR_040791.1| Prosthecomicrobium pneumaticum strain 3a 16S ribosomal RNA, partial sequence",83
"gi|343199092|ref|NR_044533.1| Deserticella xinjiangensis strain 10-1-101 16S ribosomal RNA, partial sequence",82
"gi|636559945|ref|NR_116005.1| Reyranella massiliensis 521 16S ribosomal RNA, partial sequence",78
"gi|343202284|ref|NR_042570.1| Aquisalimonas asiatica strain CG12 16S ribosomal RNA, partial sequence",78
"gi|2836274944|ref|NR_197707.1| Dongia sedimenti strain R-7 16S ribosomal RNA, partial sequence",77
"gi|2463901786|ref|NR_184612.1| Capillimicrobium parvum strain 0166_1 16S ribosomal RNA, partial sequence",77
"gi|219856891|ref|NR_024710.1| Roseateles saccharophilus strain DSM 654 16S ribosomal RNA, partial sequence",77
"gi|343206379|ref|NR_044971.1| Legionella worsleiensis strain NCTC 12377 16S ribosomal RNA, partial sequence",77
"gi|1779814833|ref|NR_164908.1| Streptomyces carminius strain TRM SA0054 16S ribosomal RNA, partial sequence",76
"gi|265678605|ref|NR_028910.1| Pelospora glutarica strain WoGl3 16S ribosomal RNA, partial sequence",76
"gi|1864207058|ref|NR_169352.1| Variovorax rhizosphaerae strain UCM-G28 16S ribosomal RNA, partial sequence",75
"gi|343200698|ref|NR_041385.1| Sulfurivirga caldicuralii strain MM1 16S ribosomal RNA, partial sequence",75
"gi|699005311|ref|NR_126180.1| Reyranella graminifolii strain Wo-34 16S ribosomal RNA, partial sequence",74
"gi|1199303371|ref|NR_147722.1| Silvibacterium dinghuense strain DHOF10 16S ribosomal RNA, partial sequence",74
"gi|444303967|ref|NR_074390.1| Acidimicrobium ferrooxidans DSM 10331 16S ribosomal RNA, partial sequence",73
"gi|470467498|ref|NR_074178.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",72
"gi|636559944|ref|NR_116004.1| Labrys wisconsinensis strain W1215-PCA4 16S ribosomal RNA, partial sequence",72
"gi|444304272|ref|NR_074698.1| Ignavibacterium album JCM 16511 16S ribosomal RNA, partial sequence",72
"gi|2363084673|ref|NR_180585.1| Pseudoduganella guangdongensis strain DS3 16S ribosomal RNA, partial sequence",70
"gi|1237084959|ref|NR_112810.2| Thermaerobacter composti JCM 15650 strain Ni80 16S ribosomal RNA, partial sequence",70
"gi|1011034832|ref|NR_135724.1| Planifilum composti strain P8 16S ribosomal RNA, partial sequence",69
"gi|2221405575|ref|NR_175584.1| Paraburkholderia pallida strain 7MH5 16S ribosomal RNA, partial sequence",68
"gi|645322222|ref|NR_119023.1| Legionella wadsworthii strain ATCC 33877 16S ribosomal RNA, partial sequence",68
"gi|694190103|ref|NR_114777.2| Enterococcus avium ATCC 14025 16S ribosomal RNA, partial sequence",68
"gi|2621112356|ref|NR_189260.1| Aurantibacillus circumpalustris strain Swamp196 16S ribosomal RNA, partial sequence",67
"gi|2363080621|ref|NR_178552.1| Thermopetrobacter submarinus strain TC-2 16S ribosomal RNA, partial sequence",67
"gi|1179766740|ref|NR_146690.1| Dongia soli strain D78 16S ribosomal RNA, partial sequence",66
"gi|645319720|ref|NR_117077.1| Methyloferula stellata AR4 16S ribosomal RNA, partial sequence",65
"gi|1397641792|ref|NR_156901.1| Thermodesulfobium acidiphilum strain 3127-1 16S ribosomal RNA, partial sequence",64
"gi|566085594|ref|NR_109674.1| Reyranella soli strain KIS14-15 16S ribosomal RNA, partial sequence",64
"gi|2363081310|ref|NR_178899.1| Steroidobacter flavus strain CPCC 100154 16S ribosomal RNA, partial sequence",64
"gi|2363087279|ref|NR_181895.1| Rhabdothermincola salaria strain EGI L10124 16S ribosomal RNA, partial sequence",64
"gi|219857550|ref|NR_025138.1| Cupriavidus basilensis strain DSM 11853 16S ribosomal RNA, partial sequence",64
"gi|2363083185|ref|NR_179841.1| Hypericibacter terrae strain R5913 16S ribosomal RNA, partial sequence",63
"gi|343205876|ref|NR_044352.1| Sulfobacillus benefaciens strain BRGM2 16S ribosomal RNA, partial sequence",63
"gi|444303872|ref|NR_074294.1| Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence",63
"gi|2363083002|ref|NR_179749.1| Methylibium rhizosphaerae strain C1-9 16S ribosomal RNA, partial sequence",63
"gi|559795180|ref|NR_104769.1| Propionicimonas paludicola strain Wd 16S ribosomal RNA, partial sequence",63
"gi|343198658|ref|NR_043213.1| Desulfuromonas svalbardensis strain 112 16S ribosomal RNA, partial sequence",62
"gi|2962412244|ref|NR_199438.1| Cupriavidus phytorum strain MLR2-44 16S ribosomal RNA, complete sequence",62
"gi|645320200|ref|NR_117462.1| Melittangium lichenicola strain DSM 2275 16S ribosomal RNA, partial sequence",62
"gi|2363083725|ref|NR_180110.1| Hypericibacter adhaerens strain R5959 16S ribosomal RNA, partial sequence",62
"gi|2363084489|ref|NR_180492.1| Bradyrhizobium agreste strain CNPSo 4010 16S ribosomal RNA, partial sequence",61
"gi|343200214|ref|NR_040901.1| Aquaspirillum putridiconchylium strain IAM 14964 16S ribosomal RNA, partial sequence",61
"gi|444439413|ref|NR_074728.1| Rhodothermus marinus DSM 4252 16S ribosomal RNA, partial sequence",59
"gi|1864207054|ref|NR_169348.1| Sutterella faecalis strain KGMB03119 16S ribosomal RNA, partial sequence",58
"gi|2363086222|ref|NR_181363.1| Undibacterium curvum strain CY22W 16S ribosomal RNA, partial sequence",57
"gi|1116030238|ref|NR_144696.1| Clostridium saudiense strain JCC 16S ribosomal RNA, partial sequence",57
"gi|343199009|ref|NR_044309.1| Steroidobacter denitrificans strain FS 16S ribosomal RNA, partial sequence",57
"gi|672239049|ref|NR_125638.1| Bradyrhizobium valentinum strain LmjM3 16S ribosomal RNA, partial sequence",56
"gi|2363084487|ref|NR_180491.1| Bradyrhizobium glycinis strain CNPSo 4016 16S ribosomal RNA, partial sequence",55
"gi|974142236|ref|NR_134756.1| Limisphaera ngatamarikiensis strain NGM72.4 16S ribosomal RNA, partial sequence",55
"gi|1384992381|ref|NR_156157.1| Luteolibacter flavescens strain GKX 16S ribosomal RNA, partial sequence",55
"gi|343201055|ref|NR_041742.1| Legionella pneumophila subsp. pascullei strain U8W 16S ribosomal RNA, partial sequence",54
"gi|2363084330|ref|NR_180413.1| Elioraea thermophila strain YIM 72297 16S ribosomal RNA, complete sequence",54
"gi|2180566351|ref|NR_174227.1| Cutibacterium modestum strain M12 16S ribosomal RNA, partial sequence",53
"gi|2136551632|ref|NR_173636.1| Citreicoccus inhibens strain M34 16S ribosomal RNA, complete sequence",53
"gi|343205970|ref|NR_044489.1| Caloramator australicus RC3 strain KCTC 5601 16S ribosomal RNA, partial sequence",52
"gi|2363085338|ref|NR_180917.1| Methylocystis silviterrae strain FS 16S ribosomal RNA, partial sequence",52
"gi|444439692|ref|NR_075007.1| Citrifermentans bemidjiense Bem 16S ribosomal RNA, complete sequence",52
"gi|2363087077|ref|NR_181794.1| Roseococcus microcysteis strain NIBR12 16S ribosomal RNA, partial sequence",52
"gi|2363082875|ref|NR_179686.1| Acidicapsa dinghuensis strain 4GSKX 16S ribosomal RNA, partial sequence",52
"gi|2363082873|ref|NR_179685.1| Edaphobacter bradus strain 4MSH08 16S ribosomal RNA, partial sequence",52
"gi|1864207092|ref|NR_169386.1| Planifilum caeni strain GIESS004 16S ribosomal RNA, partial sequence",52
"gi|1491514402|ref|NR_159154.1| Aridibacter nitratireducens strain A_24_SHP_-5_238 16S ribosomal RNA, partial sequence",52
"gi|2962412233|ref|NR_199427.1| Bacteriovorax antarcticus strain PP10 16S ribosomal RNA, partial sequence",51
"gi|645320381|ref|NR_117599.1| Archangium disciforme strain DSM 52716 16S ribosomal RNA, partial sequence",51
"gi|636558628|ref|NR_114685.1| Cupriavidus basilensis strain RK1 16S ribosomal RNA, partial sequence",51
"gi|2363085081|ref|NR_180789.1| Aquabacterium terrae strain S2 16S ribosomal RNA, partial sequence",50
"gi|559795174|ref|NR_104763.1| Rhodovibrio sodomensis strain DSI 16S ribosomal RNA, partial sequence",49
"gi|343201605|ref|NR_042331.1| Corallococcus macrosporus strain DSM 14697 16S ribosomal RNA, partial sequence >gi|636558660|ref|NR_114717.1| Corallococcus macrosporus strain Cc m8 16S ribosomal RNA, partial sequence",48
"gi|444439602|ref|NR_074917.1| Haliangium ochraceum strain DSM 14365 16S ribosomal RNA, partial sequence",48
"gi|645322612|ref|NR_119320.1| Legionella shakespearei strain NCTC 12829 16S ribosomal RNA, partial sequence",48
"gi|645321369|ref|NR_118351.1| Nitrolancea hollandica Lb 16S ribosomal RNA, partial sequence",47
"gi|444303960|ref|NR_074383.1| Anaerolinea thermophila strain UNI-1 16S ribosomal RNA, partial sequence",47
"gi|219878404|ref|NR_025543.1| Thermoleophilum album strain HS-5 16S ribosomal RNA, partial sequence",47
"gi|1199303401|ref|NR_147752.1| Egibacter rhizosphaerae strain EGI 80759 16S ribosomal RNA, partial sequence",47
"gi|1779814832|ref|NR_164907.1| Phenylobacterium terrae strain YIM 730227 16S ribosomal RNA, complete sequence",46
"gi|631252446|ref|NR_113644.1| Aquaspirillum putridiconchylium strain NBRC 13962 16S ribosomal RNA, partial sequence",46
"gi|2221405293|ref|NR_175460.1| Paraburkholderia silviterrae strain personal::4 M-K11 16S ribosomal RNA, partial sequence",46
"gi|631251365|ref|NR_112562.1| Variovorax ginsengisoli strain Gsoil 3165 16S ribosomal RNA, partial sequence",46
"gi|2221405524|ref|NR_175563.1| Caldimonas brevitalea strain DSM 7029 16S ribosomal RNA, partial sequence",46
"gi|2180566501|ref|NR_174339.1| Falsiroseomonas bella strain CQN31 16S ribosomal RNA, complete sequence",45
"gi|343205594|ref|NR_043923.1| Nisaea denitrificans DSM 18348 strain DR41_21 16S ribosomal RNA, partial sequence",45
"gi|1150406772|ref|NR_146026.1| Tellurimicrobium multivorans strain Ac_18_E7 16S ribosomal RNA, partial sequence",45
"gi|343200946|ref|NR_041633.1| Ilumatobacter fluminis YM22-133 16S ribosomal RNA, partial sequence",45
"gi|343202675|ref|NR_043076.1| Neomoorella thermoacetica strain DSM 521 16S ribosomal RNA, partial sequence",45
"gi|1269860148|ref|NR_029282.2| Rhodothermus marinus DSM 4252 strain R-10 16S ribosomal RNA, complete sequence",45
"gi|219846741|ref|NR_026333.1| Sphaerotilus mobilis strain Feox-1 16S ribosomal RNA, partial sequence",45
"gi|2363081188|ref|NR_178837.1| Variovorax gossypii strain JM-310 16S ribosomal RNA, partial sequence",45
"gi|2221405573|ref|NR_175583.1| Paraburkholderia pallida strain 7MH5 16S ribosomal RNA, partial sequence",44
"gi|631252007|ref|NR_113205.1| Desulfomicrobium orale strain JCM 17150 16S ribosomal RNA, partial sequence",44
"gi|343198990|ref|NR_044259.1| Elioraea tepidiphila DSM 17972 strain TU-7 16S ribosomal RNA, partial sequence",44
"gi|2363080691|ref|NR_178587.1| Anoxybacter fermentans strain DY22613 16S ribosomal RNA, partial sequence",44
"gi|636560657|ref|NR_116717.1| Pedococcus cremeus strain V2M29 16S ribosomal RNA, partial sequence",44
"gi|2363085581|ref|NR_181043.1| Corallococcus silvisoli strain c25j21 16S ribosomal RNA, partial sequence",43
"gi|219846484|ref|NR_026076.1| Citrifermentans bremense strain Dfr1 16S ribosomal RNA, partial sequence",43
"gi|823545342|ref|NR_102767.2| Syntrophothermus lipocalidus strain DSM 12680 16S ribosomal RNA, partial sequence",43
"gi|631251420|ref|NR_112617.1| Panacagrimonas perspica strain Gsoil 142 16S ribosomal RNA, partial sequence",43
"gi|343205601|ref|NR_043924.1| Nisaea nitritireducens strain DR41_18 16S ribosomal RNA, partial sequence",43
"gi|343205579|ref|NR_043921.1| Piscinibacter aquaticus strain IMCC1728 16S ribosomal RNA, partial sequence",43
"gi|631251954|ref|NR_113152.1| Alistipes putredinis strain JCM 16772 16S ribosomal RNA, partial sequence",42
"gi|310975027|ref|NR_036891.1| Holophaga foetida strain TMBS4 16S ribosomal RNA, partial sequence",42
"gi|1779814941|ref|NR_165015.1| Lujinxingia sediminis strain SEH01 16S ribosomal RNA, partial sequence",42
"gi|310974954|ref|NR_036818.1| Anaerolinea thermophila strain UNI-1 16S ribosomal RNA, partial sequence",42
"gi|343200549|ref|NR_041236.1| Lutispora thermophila DSM 19022 strain EBR46 16S ribosomal RNA, partial sequence",42
"gi|526641957|ref|NR_103954.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",41
"gi|1277396341|ref|NR_152052.1| Anaerosporomusa subterranea strain RU4 16S ribosomal RNA, partial sequence",41
"gi|1000372665|ref|NR_135209.1| Silvibacterium bohemicum strain S15 16S ribosomal RNA, partial sequence",41
"gi|2136551624|ref|NR_173628.1| Thiospirillum jenense strain DSM 216 16S ribosomal RNA, partial sequence",41
"gi|1441204298|ref|NR_157713.1| Fodinibius salicampi strain KHM44 16S ribosomal RNA, partial sequence",41
"gi|636559753|ref|NR_115813.1| Edaphobacter modestus strain Jbg-1 16S ribosomal RNA, partial sequence",41
"gi|631251811|ref|NR_113009.1| Armatimonas rosea strain YO-36 16S ribosomal RNA, partial sequence",40
"gi|645321377|ref|NR_118358.1| Syntrophus buswellii strain DM-2 16S ribosomal RNA, partial sequence",40
"gi|2621112289|ref|NR_189192.1| Vulcanimicrobium alpinum strain WC8-2 16S ribosomal RNA, partial sequence",40
"gi|2363087097|ref|NR_181804.1| Bifidobacterium pluvialisilvae strain 82T24 16S ribosomal RNA, partial sequence",39
"gi|672238877|ref|NR_125465.1| Methyloceanibacter caenitepidi strain Gela4 16S ribosomal RNA, partial sequence",39
"gi|566085280|ref|NR_109152.1| Cupriavidus alkaliphilus strain ASC-732 16S ribosomal RNA, partial sequence",39
"gi|219878204|ref|NR_025343.1| Cystobacter ferrugineus strain Cb fe18 16S ribosomal RNA, partial sequence",39
"gi|343200252|ref|NR_040939.1| Planifilum fulgidum strain 500275 16S ribosomal RNA, partial sequence",39
"gi|228715350|ref|NR_027522.1| Haliangium ochraceum DSM 14365 strain SMP-2 16S ribosomal RNA, partial sequence",39
"gi|1491516041|ref|NR_159239.1| Rhodoplanes azumiensis strain TUT3581 16S ribosomal RNA, partial sequence",38
"gi|444303874|ref|NR_074296.1| Chloracidobacterium thermophilum strain B 16S ribosomal RNA, partial sequence",38
"gi|507148137|ref|NR_102944.1| Alistipes finegoldii strain DSM 17242 16S ribosomal RNA, partial sequence",38
"gi|343198907|ref|NR_043981.1| Desulfocurvus vexinensis DSM 17965 strain VNs36 16S ribosomal RNA, partial sequence",38
"gi|1953646644|ref|NR_171477.1| Stenotrophobium rhamnosiphilum strain GT1R17 16S ribosomal RNA, partial sequence",38
"gi|631252066|ref|NR_113264.1| Conexibacter arvalis strain KV-962 16S ribosomal RNA, partial sequence",38
"gi|1953646724|ref|NR_171519.1| Legionella qingyii strain km488 16S ribosomal RNA, partial sequence",38
"gi|343198689|ref|NR_043281.1| Thermaerobacter litoralis strain KW1 16S ribosomal RNA, partial sequence",38
"gi|343205609|ref|NR_043934.1| Azospirillum zeae strain N7 16S ribosomal RNA, partial sequence",37
"gi|2363085193|ref|NR_180845.1| Rugamonas rivuli strain FT103W 16S ribosomal RNA, partial sequence",37
"gi|2363085376|ref|NR_180936.1| Luteolibacter luteus strain G-1-1-1 16S ribosomal RNA, partial sequence",37
"gi|470466149|ref|NR_074106.1| Acidobacterium capsulatum ATCC 51196 16S ribosomal RNA, partial sequence",37
"gi|848212582|ref|NR_132289.1| Aquihabitans daechungensis strain CH22-21 16S ribosomal RNA, partial sequence",36
"gi|2363085641|ref|NR_181073.1| Crenobacter caeni strain HX-7-9 16S ribosomal RNA, partial sequence",36
"gi|265678821|ref|NR_029126.1| Rhodoplanes roseus strain 941 16S ribosomal RNA, partial sequence",36
"gi|2363085913|ref|NR_181209.1| Nisaea sediminum strain NBU1469 16S ribosomal RNA, partial sequence",36
"gi|1558439485|ref|NR_160522.1| Polyangium fumosum strain Pl fu5 16S ribosomal RNA, partial sequence",36
"gi|1212229249|ref|NR_148319.1| Skermanella rubra strain YIM 93097 16S ribosomal RNA, partial sequence",36
"gi|566084799|ref|NR_108139.1| Arenimonas daejeonensis strain T7-07 16S ribosomal RNA, partial sequence",35
"gi|2463901787|ref|NR_184613.1| Parvicella tangerina strain AS29M-1 16S ribosomal RNA, partial sequence",35
"gi|636560634|ref|NR_116694.1| Desulfonatronum thiosulfatophilum strain ASO4-2 16S ribosomal RNA, partial sequence",35
"gi|343202692|ref|NR_043106.1| Alloalcanivorax dieselolei strain B-5 16S ribosomal RNA, partial sequence",35
