organism,count
"gi|636559008|ref|NR_115065.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",35
"gi|631251365|ref|NR_112562.1| Variovorax ginsengisoli strain Gsoil 3165 16S ribosomal RNA, partial sequence",35
"gi|2136551632|ref|NR_173636.1| Citreicoccus inhibens strain M34 16S ribosomal RNA, complete sequence",35
"gi|343198792|ref|NR_043690.1| Methylotenera mobilis JLW8 16S ribosomal RNA, partial sequence",34
"gi|444439585|ref|NR_074900.1| Desulfomicrobium baculatum DSM 4028 16S ribosomal RNA, partial sequence",34
"gi|343205579|ref|NR_043921.1| Piscinibacter aquaticus strain IMCC1728 16S ribosomal RNA, partial sequence",34
"gi|2363081349|ref|NR_178919.1| Legionella norrlandica strain LEGN 16S ribosomal RNA, partial sequence",34
"gi|228715350|ref|NR_027522.1| Haliangium ochraceum DSM 14365 strain SMP-2 16S ribosomal RNA, partial sequence",34
"gi|636559168|ref|NR_115225.1| Chthoniobacter flavus Ellin428 16S ribosomal RNA, partial sequence",34
"gi|566084780|ref|NR_108115.1| Rhizomicrobium electricum strain Mfc52 16S ribosomal RNA, partial sequence",33
"gi|2363083185|ref|NR_179841.1| Hypericibacter terrae strain R5913 16S ribosomal RNA, partial sequence",33
"gi|2463901678|ref|NR_184599.1| Longitalea luteola strain SYSU D00799 16S ribosomal RNA, partial sequence",33
"gi|1270533081|ref|NR_074852.2| Corallococcus coralloides DSM 2259 16S ribosomal RNA, complete sequence",33
"gi|2363081310|ref|NR_178899.1| Steroidobacter flavus strain CPCC 100154 16S ribosomal RNA, partial sequence",33
"gi|343201081|ref|NR_041768.1| Methylibium petroleiphilum PM1 16S ribosomal RNA, partial sequence",32
"gi|1491509597|ref|NR_159128.1| Puia dinghuensis strain 4GSH07 16S ribosomal RNA, partial sequence",32
"gi|1953646489|ref|NR_171393.1| Phenylobacterium parvum strain HYN0004 16S ribosomal RNA, complete sequence",32
"gi|2363083979|ref|NR_180238.1| Granulicella sibirica strain AF10 16S ribosomal RNA, partial sequence",32
"gi|645320790|ref|NR_117911.1| Blastochloris viridis strain DSM 133 16S ribosomal RNA, partial sequence",31
"gi|1240411868|ref|NR_149199.1| Thermoactinomyces khenchelensis strain T36 16S ribosomal RNA, partial sequence",31
"gi|1199303387|ref|NR_147738.1| Occallatibacter riparius strain 277 16S ribosomal RNA, partial sequence",31
"gi|1441204242|ref|NR_157657.1| Bradyrhizobium cajani strain AMBPC1010 16S ribosomal RNA, partial sequence",30
"gi|507148069|ref|NR_102876.1| Pseudobdellovibrio exovorus JSS 16S ribosomal RNA, partial sequence",30
"gi|645320382|ref|NR_117600.1| Archangium disciforme strain DSM 52716 16S ribosomal RNA, partial sequence",30
"gi|699005313|ref|NR_126182.1| Labilithrix luteola strain B00002 16S ribosomal RNA, partial sequence",30
"gi|1277396321|ref|NR_152032.1| Nocardioides baekrokdamisoli strain B2-12 16S ribosomal RNA, partial sequence",30
"gi|566085546|ref|NR_109616.1| Nevskia aquatilis strain F2-63 16S ribosomal RNA, partial sequence",29
"gi|343200947|ref|NR_041634.1| Iamia majanohamensis strain NBRC 102561 16S ribosomal RNA, partial sequence",29
"gi|2363083773|ref|NR_180134.1| Paramagnetospirillum kuznetsovii strain LBB-42 16S ribosomal RNA, complete sequence",29
"gi|1864207061|ref|NR_169355.1| Nocardioides paucivorans strain KIS31-44 16S ribosomal RNA, partial sequence",29
"gi|343205224|ref|NR_043872.1| Trinickia soli strain GP25-8 16S ribosomal RNA, partial sequence",29
"gi|631250989|ref|NR_112186.1| Rhizomicrobium palustre strain A48 16S ribosomal RNA, partial sequence",28
"gi|2363083725|ref|NR_180110.1| Hypericibacter adhaerens strain R5959 16S ribosomal RNA, partial sequence",28
"gi|444303860|ref|NR_074282.1| Gloeobacter violaceus PCC 7421 16S ribosomal RNA, complete sequence",28
"gi|444303967|ref|NR_074390.1| Acidimicrobium ferrooxidans DSM 10331 16S ribosomal RNA, partial sequence",28
"gi|636560618|ref|NR_116678.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",28
"gi|1315204035|ref|NR_152705.1| Paraburkholderia pallidirosea strain DHOK13 16S ribosomal RNA, partial sequence",28
"gi|310975255|ref|NR_037119.1| Acidisphaera rubrifaciens strain HS-AP3 16S ribosomal RNA, partial sequence",28
"gi|343205731|ref|NR_044135.1| Nevskia soli strain GR15-1 16S ribosomal RNA, partial sequence",28
"gi|631251579|ref|NR_112776.1| Rhodovastum atsumiense strain G2-11 16S ribosomal RNA, partial sequence",28
"gi|343198658|ref|NR_043213.1| Desulfuromonas svalbardensis strain 112 16S ribosomal RNA, partial sequence",28
"gi|2363086472|ref|NR_181490.1| Chryseosolibacter histidini strain PWU4 16S ribosomal RNA, partial sequence",27
"gi|2363081070|ref|NR_178778.1| Flavisolibacter carri strain TX0651 16S ribosomal RNA, partial sequence",27
"gi|566085274|ref|NR_109135.1| Litchfieldia salsa strain A24 16S ribosomal RNA, partial sequence",27
"gi|470466149|ref|NR_074106.1| Acidobacterium capsulatum ATCC 51196 16S ribosomal RNA, partial sequence",27
"gi|2962412233|ref|NR_199427.1| Bacteriovorax antarcticus strain PP10 16S ribosomal RNA, partial sequence",27
"gi|2363086476|ref|NR_181492.1| Chryseosolibacter indicus strain PWU20 16S ribosomal RNA, partial sequence",26
"gi|1491514501|ref|NR_159163.1| Sphingomonas agri strain HKS-06 16S ribosomal RNA, partial sequence",26
"gi|1341394074|ref|NR_153746.1| Sphingomonas lutea strain JS5 16S ribosomal RNA, partial sequence",26
"gi|343201672|ref|NR_042398.1| Stigmatella erecta strain DSM 16858 16S ribosomal RNA, partial sequence",26
"gi|2363081999|ref|NR_179246.1| Chryseotalea sanaruensis strain Ys 16S ribosomal RNA, partial sequence",25
"gi|343198971|ref|NR_044205.1| Dethiobacter alkaliphilus AHT 1 16S ribosomal RNA, partial sequence",25
"gi|645320788|ref|NR_117910.1| Blastochloris viridis strain DSM 133 16S ribosomal RNA, partial sequence",25
"gi|559795174|ref|NR_104763.1| Rhodovibrio sodomensis strain DSI 16S ribosomal RNA, partial sequence",25
"gi|343206379|ref|NR_044971.1| Legionella worsleiensis strain NCTC 12377 16S ribosomal RNA, partial sequence",25
"gi|2363083002|ref|NR_179749.1| Methylibium rhizosphaerae strain C1-9 16S ribosomal RNA, partial sequence",25
"gi|444303815|ref|NR_074237.1| Methylocella silvestris BL2 16S ribosomal RNA, partial sequence",25
"gi|636558576|ref|NR_114633.1| Thermobaculum terrenum ATCC BAA-798 strain YNP1 16S ribosomal RNA, partial sequence",25
"gi|1341393998|ref|NR_153670.1| Patulibacter brassicae strain SD 16S ribosomal RNA, partial sequence",25
"gi|2363083375|ref|NR_179936.1| Caulobacter endophyticus strain 774 16S ribosomal RNA, partial sequence",24
"gi|343201255|ref|NR_041981.1| Kofleria flava strain Pl vt1 16S ribosomal RNA, partial sequence",24
"gi|2363085193|ref|NR_180845.1| Rugamonas rivuli strain FT103W 16S ribosomal RNA, partial sequence",24
"gi|219846870|ref|NR_026462.1| Paraburkholderia caribensis strain MWAP64 16S ribosomal RNA, partial sequence",24
"gi|2363080227|ref|NR_178338.1| Ginsengibacter hankyongi strain BR5-29 16S ribosomal RNA, partial sequence",24
"gi|672238877|ref|NR_125465.1| Methyloceanibacter caenitepidi strain Gela4 16S ribosomal RNA, partial sequence",24
"gi|602270591|ref|NR_029099.2| Chitinimonas taiwanensis strain cf 16S ribosomal RNA, partial sequence",24
"gi|265678892|ref|NR_029200.1| Afipia broomeae strain F186 16S ribosomal RNA, partial sequence",24
"gi|631252114|ref|NR_113312.1| Thermotomaculum hydrothermale strain AC55 16S ribosomal RNA, partial sequence",23
"gi|2621112289|ref|NR_189192.1| Vulcanimicrobium alpinum strain WC8-2 16S ribosomal RNA, partial sequence",23
"gi|2363087279|ref|NR_181895.1| Rhabdothermincola salaria strain EGI L10124 16S ribosomal RNA, partial sequence",23
"gi|1384992271|ref|NR_156019.1| Rugosibacter aromaticivorans strain Ca6 16S ribosomal RNA, complete sequence",23
"gi|1953646739|ref|NR_171529.1| Massilia atriviolacea strain SOD 16S ribosomal RNA, partial sequence",23
"gi|961555024|ref|NR_133991.1| Caballeronia jiangsuensis strain MP-1 16S ribosomal RNA, partial sequence",23
"gi|558508598|ref|NR_104525.1| Nevskia terrae strain KIS13-15 16S ribosomal RNA, partial sequence",23
"gi|2363083485|ref|NR_179991.1| Phreatobacter cathodiphilus strain S-12 16S ribosomal RNA, partial sequence",22
"gi|343199115|ref|NR_044588.1| Ferruginibacter alkalilentus strain HU1-GD23 16S ribosomal RNA, partial sequence",22
"gi|1909404452|ref|NR_170507.1| Nocardioides guangzhouensis strain 130 16S ribosomal RNA, partial sequence",22
"gi|343200217|ref|NR_040904.1| Malikia spinosa strain IAM 14918 16S ribosomal RNA, partial sequence",22
"gi|343202694|ref|NR_043109.1| Alloalcanivorax balearicus MACL04 16S ribosomal RNA, partial sequence",22
"gi|444303873|ref|NR_074295.1| Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence >gi|645320930|ref|NR_118021.1| Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence",22
"gi|961555189|ref|NR_134158.1| Roseiarcus fermentans strain Pf56 16S ribosomal RNA, partial sequence",22
"gi|631251023|ref|NR_112220.1| Beijerinckia mobilis strain ATCC 35011 16S ribosomal RNA, partial sequence",22
"gi|2363084172|ref|NR_180335.1| Polyangium aurulentum strain SDU3-1 16S ribosomal RNA, partial sequence",22
"gi|265678331|ref|NR_028633.1| Brevundimonas nasdae strain W1-2B 16S ribosomal RNA, partial sequence",22
"gi|2363085913|ref|NR_181209.1| Nisaea sediminum strain NBU1469 16S ribosomal RNA, partial sequence",22
"gi|672238967|ref|NR_125556.1| Lacibacterium aquatile strain LTC-2 16S ribosomal RNA, partial sequence",22
"gi|2962412244|ref|NR_199438.1| Cupriavidus phytorum strain MLR2-44 16S ribosomal RNA, complete sequence",22
"gi|2363084669|ref|NR_180583.1| Rugamonas aquatica strain FT29W 16S ribosomal RNA, partial sequence",21
"gi|636559017|ref|NR_115074.1| Telmatobacter bradus strain TPB6017 16S ribosomal RNA, partial sequence",21
"gi|2363082475|ref|NR_179484.1| Metabacillus schmidteae strain Marseille-P9898 16S ribosomal RNA, partial sequence",21
"gi|566084805|ref|NR_108143.1| Kaistia defluvii strain B6-12 16S ribosomal RNA, partial sequence",21
"gi|1779814859|ref|NR_164934.1| Cupriavidus lacunae strain S23 16S ribosomal RNA, partial sequence",21
"gi|636559015|ref|NR_115072.1| Granulicella paludicola strain OB1010 16S ribosomal RNA, partial sequence",21
"gi|219857214|ref|NR_024842.1| Streptococcus parasanguinis ATCC 15912 16S ribosomal RNA, partial sequence",21
"gi|343201605|ref|NR_042331.1| Corallococcus macrosporus strain DSM 14697 16S ribosomal RNA, partial sequence >gi|636558660|ref|NR_114717.1| Corallococcus macrosporus strain Cc m8 16S ribosomal RNA, partial sequence",21
"gi|2180566351|ref|NR_174227.1| Cutibacterium modestum strain M12 16S ribosomal RNA, partial sequence",21
"gi|444439515|ref|NR_074830.1| Conexibacter woesei strain DSM 14684 16S ribosomal RNA, partial sequence",21
"gi|645320196|ref|NR_117459.1| Archangium gephyra strain DSM 2261 16S ribosomal RNA, partial sequence",21
"gi|1277396341|ref|NR_152052.1| Anaerosporomusa subterranea strain RU4 16S ribosomal RNA, partial sequence",20
"gi|1277396147|ref|NR_108590.1| Pseudobacter ginsenosidimutans strain Gsoil 221 16S ribosomal RNA, partial sequence",20
"gi|343198675|ref|NR_043249.1| Denitratisoma oestradiolicum strain AcBE2-1 16S ribosomal RNA, partial sequence",20
"gi|1109167956|ref|NR_144576.1| Ampullimonas aquatilis strain B15.09-116 16S ribosomal RNA, partial sequence",20
"gi|2363084490|ref|NR_180493.1| Bradyrhizobium australafricanum strain CNPSo 4015 16S ribosomal RNA, partial sequence",20
"gi|2221405185|ref|NR_175421.1| Sphingomonas segetis strain YJ09 16S ribosomal RNA, partial sequence",20
"gi|1040566998|ref|NR_137347.1| Sulfurifustis variabilis strain skN76 16S ribosomal RNA, partial sequence",20
"gi|1558439489|ref|NR_160537.1| Polyangium spumosum strain Pl sm5 16S ribosomal RNA, partial sequence",20
"gi|2221405322|ref|NR_175476.1| Thermoflavimicrobium daqui strain FBKL4.011 16S ribosomal RNA, partial sequence",20
"gi|1679775923|ref|NR_163645.1| Roseisolibacter agri strain AW1220 16S ribosomal RNA, partial sequence",20
"gi|636559184|ref|NR_115241.1| Streptococcus parasanguinis ATCC 15912 16S ribosomal RNA, partial sequence",20
"gi|2363082707|ref|NR_179601.1| Ornithinibacillus massiliensis strain Marseille-P3601 16S ribosomal RNA, partial sequence",20
"gi|631250882|ref|NR_112078.1| Brevundimonas vesicularis strain IAM 12105 16S ribosomal RNA, partial sequence",20
